B10k_ID,Species_Name_Standard,Realm_fixed,realm_all
B10K-DU-012-10,Ptilonorhynchus_violaceus,Australian,Australian
B10K-DU-012-14,Pluvianellus_socialis,Neotropical,Neotropical
B10K-DU-012-30,Picathartes_gymnocephalus,Afrotropical,Afrotropical
B10K-DU-012-37,Upupa_epops,Sino-Japanese,Madagascan Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-012-38,Urocynchramus_pylzowi,Sino-Japanese,Palearctic Sino-Japanese
B10K-DU-012-41,Chaetops_frenatus,Afrotropical,Afrotropical
B10K-DU-012-45,Pelecanoides_urinatrix,Neotropical,NA
B10K-DU-012-46,Prunella_fulvescens,Palearctic,Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-012-47,Tichodroma_muraria,Palearctic,Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-012-52,Brachypteracias_leptosomus,Madagascan,Madagascan
B10K-DU-012-55,Dromas_ardeola,Afrotropical,Oceanina Oriental Saharo-Arabian
B10K-DU-012-56,Balaeniceps_rex,Afrotropical,Afrotropical
B10K-DU-012-58,Pandion_haliaetus,Nearctic,Australian Afrotropical Nearctic Oceanina Oriental Palearctic Panamanian Saharo-Arabian Sino-Japanese
B10K-DU-012-65,Grus_americana,Nearctic,Nearctic
B10K-DU-012-80,Bucorvus_abyssinicus,Afrotropical,Afrotropical
B10K-DU-013-18,Prunella_himalayana,Palearctic,Palearctic Saharo-Arabian
B10K-DU-013-51,Ceyx_cyanopectus,Oriental,NA
B10K-DU-015-11,Emberiza_fucata,Sino-Japanese,Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-015-28,Calcarius_ornatus,Nearctic,Nearctic
B10K-DU-017-21,Centropus_bengalensis,Oriental,Oceanina Oriental Sino-Japanese
B10K-DU-017-25,Centropus_unirufus,Oriental,Oriental
B10K-DU-017-47,Probosciger_aterrimus,Oceanina,Australian Oceanina
B10K-DU-021-26,Columbina_picui,Neotropical,Neotropical
B10K-DU-021-33,Chroicocephalus_maculipennis,Neotropical,Neotropical
B10K-DU-023-52,Spizella_passerina,Nearctic,Nearctic Palearctic Panamanian
B10K-DU-024-03,Halcyon_senegalensis,Afrotropical,Afrotropical
B10K-DU-025-06,Eolophus_roseicapillus,Australian,NA
B10K-DU-027-49,Pterocles_burchelli,Afrotropical,Afrotropical
B10K-DU-028-75,Onychorhynchus_coronatus,Panamanian,Nearctic Neotropical Panamanian
B10K-DU-029-24,Thalassarche_chlororhynchos,Neotropical,NA
B10K-DU-029-28,Anhinga_rufa,Afrotropical,Madagascan Afrotropical Saharo-Arabian
B10K-DU-029-32,Orthonyx_spaldingii,Australian,Australian
B10K-DU-029-33,Struthidea_cinerea,Australian,Australian
B10K-DU-029-36,Aleadryas_rufinucha,Oceanina,Oceanina
B10K-DU-029-37,Melanocharis_versteri,Oceanina,Oceanina
B10K-DU-029-38,Cnemophilus_loriae,Oceanina,Oceanina
B10K-DU-029-39,Eulacestoma_nigropectus,Oceanina,Oceanina
B10K-DU-029-40,Rhagologus_leucostigma,Oceanina,Oceanina
B10K-DU-029-41,Ifrita_kowaldi,Oceanina,Oceanina
B10K-DU-029-42,Oreocharis_arfaki,Oceanina,Oceanina
B10K-DU-029-43,Machaerirhynchus_nigripectus,Oceanina,Oceanina
B10K-DU-029-44,Malurus_elegans,Australian,Australian
B10K-DU-029-46,Turnix_velox,Australian,Australian
B10K-DU-029-47,Daphoenositta_chrysoptera,Australian,Australian Oceanina
B10K-DU-029-49,Dasyornis_broadbenti,Australian,Australian
B10K-DU-029-50,Grantiella_picta,Australian,Australian
B10K-DU-029-51,Pardalotus_punctatus,Australian,Australian
B10K-DU-029-52,Origma_solitaria,Australian,Australian
B10K-DU-029-53,Climacteris_rufus,Australian,Australian
B10K-DU-029-58,Rhynochetos_jubatus,Oceanina,Australian Oceanina
B10K-DU-029-61,Atrichornis_clamosus,Australian,Australian
B10K-DU-029-69,Horornis_vulcanius,Oriental,NA
B10K-DU-029-75,Notiomystis_cincta,Australian,Australian
B10K-DU-029-76,Aegotheles_bennettii,Oceanina,Oceanina
B10K-DU-029-77,Falcunculus_frontatus,Australian,Australian
B10K-DU-029-80,Pedionomus_torquatus,Australian,Australian
B10K-DU-030-03,Drymodes_brunneopygia,Australian,Australian
B10K-DU-030-18,Panurus_biarmicus,Palearctic,Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-030-22,Mohoua_ochrocephala,Australian,Australian
B10K-DU-030-25,Ibidorhyncha_struthersii,Sino-Japanese,Oriental Palearctic Saharo-Arabian Sino-Japanese
B10K-DU-030-41,Sapayoa_aenigma,Panamanian,Neotropical Panamanian
B10K-DU-030-59,Urocolius_indicus,Afrotropical,Afrotropical
B10K-Elachura_formosa,Elachura_formosa,Sino-Japanese,NA
B10K-Eudromia_elegans,Eudromia_elegans,Neotropical,Neotropical
B10K-IZ-033-77,Pteruthius_melanotis,Sino-Japanese,Oriental Sino-Japanese
B10K-IZ-033-78,Chloropsis_hardwickii,Sino-Japanese,Oriental Sino-Japanese
B10K-IZ-033-81,Pomatorhinus_ruficollis,Sino-Japanese,Oriental Palearctic Sino-Japanese
B10K-Nothocercus_julius,Nothocercus_julius,Neotropical,Neotropical Panamanian
B10K-Nothocercus_nigrocapillus,Nothocercus_nigrocapillus,Neotropical,Neotropical
B10K-Nothoprocta_ornata,Nothoprocta_ornata,Neotropical,Neotropical
