ID,DC1_coef,DC1_p_value,DC1_sample_size,DC1_response,DC1_Ne_direction,IN1_coef,IN1_p_value,IN1_sample_size,IN1_response,IN1_Ne_direction
B10K-DU-001-72,0.900495251,1.49E-07,19,Pos,decrease,-0.974337985,9.16E-14,21,Neg,decrease
B10K-DU-001-74,-0.884895835,1.87E-10,29,Neg,increase,0.988420776,8.01E-23,28,Pos,increase
B10K-DU-001-75,0.868888385,2.33E-10,31,Pos,decrease,-0.753085042,2.43E-06,29,Neg,decrease
B10K-DU-001-78,0.959372049,2.30E-16,29,Pos,decrease,-0.943574695,1.67E-13,27,Neg,decrease
B10K-DU-001-79,0.838979159,2.01E-06,21,Pos,decrease,-0.985720065,9.87E-18,23,Neg,decrease
B10K-DU-002-01,0.695588691,0.000228643,23,Pos,decrease,0.150842175,0.49207099,23,No,not_significant
B10K-DU-002-05,-0.635895838,0.002581372,20,Neg,increase,-0.898844792,1.33E-08,22,Neg,decrease
B10K-DU-002-07,0.907979061,2.19E-09,23,Pos,decrease,-0.920267964,7.53E-11,25,Neg,decrease
B10K-DU-002-08,0.499613685,0.006790358,28,No,not_significant,0.968758731,1.18E-16,27,Pos,increase
B10K-DU-002-09,-0.386630614,0.042113961,28,No,not_significant,0.971802956,3.34E-17,27,Pos,increase
B10K-DU-002-10,0.439526592,0.013361206,31,No,not_significant,-0.964874479,1.29E-16,28,Neg,decrease
B10K-DU-002-11,0.195601224,0.436658761,18,No,not_significant,0.869675045,1.32E-06,19,Pos,increase
B10K-DU-002-13,-0.870399738,6.73E-08,23,Neg,increase,0.967150525,2.31E-13,22,Pos,increase
B10K-DU-002-14,-0.883422369,2.20E-10,29,Neg,increase,0.980723737,3.02E-19,27,Pos,increase
B10K-DU-002-16,-0.763243052,2.32E-06,28,Neg,increase,0.476893623,0.010291189,28,No,not_significant
B10K-DU-002-18,-0.867666473,1.11E-09,29,Neg,increase,0.9695823,2.04E-17,28,Pos,increase
B10K-DU-002-19,0.84842318,8.45E-08,25,Pos,decrease,-0.95802969,5.66E-14,25,Neg,decrease
B10K-DU-002-22,0.888729182,1.21E-10,29,Pos,decrease,-0.969584604,8.50E-17,27,Neg,decrease
B10K-DU-002-23,-0.856717335,5.97E-09,28,Neg,increase,-0.892881854,8.63E-10,26,Neg,decrease
B10K-DU-002-24,0.855515919,6.61E-09,28,Pos,decrease,-0.858625912,5.07E-09,28,Neg,decrease
B10K-DU-002-26,-0.896074214,6.11E-10,26,Neg,increase,0.964583241,8.30E-15,25,Pos,increase
B10K-DU-002-28,0.879320276,7.33E-10,28,Pos,decrease,0.418886068,0.033177858,26,No,not_significant
B10K-DU-002-35,0.879119651,1.69E-11,33,Pos,decrease,-0.959075934,7.04E-17,30,Neg,decrease
B10K-DU-002-36,-0.857473001,1.72E-07,23,Neg,increase,0.911900945,5.66E-10,24,Pos,increase
B10K-DU-002-37,0.882174195,5.41E-11,31,Pos,decrease,-0.965565407,2.56E-17,29,Neg,decrease
B10K-DU-002-40,0.891010252,2.09E-10,28,Pos,decrease,-0.958819539,4.57E-14,25,Neg,decrease
B10K-DU-002-42,-0.788444882,6.27E-07,28,Neg,increase,0.978504349,1.16E-18,27,Pos,increase
B10K-DU-002-43,0.830510583,1.72E-06,22,Pos,decrease,-0.947650348,2.19E-12,24,Neg,decrease
B10K-DU-002-46,0.875312897,1.17E-10,31,Pos,decrease,-0.863394994,1.66E-09,29,Neg,decrease
B10K-DU-002-47,-0.818688968,1.80E-06,23,Neg,increase,0.9621861,6.54E-14,24,Pos,increase
B10K-DU-002-50,0.872205581,3.42E-10,30,Pos,decrease,0.893690747,1.53E-10,28,Pos,increase
B10K-DU-002-51,0.872263952,1.33E-08,25,Pos,decrease,0.688682241,0.000198503,24,Pos,increase
B10K-DU-002-52,-0.87894371,7.61E-10,28,Neg,increase,0.356830782,0.073543976,26,No,not_significant
B10K-DU-002-53,0.894857504,5.86E-11,29,Pos,decrease,-0.945904607,9.99E-14,27,Neg,decrease
B10K-DU-002-55,0.895648708,3.37E-09,24,Pos,decrease,-0.957270911,8.67E-13,23,Neg,decrease
B10K-DU-002-56,-0.890423053,2.23E-10,28,Neg,increase,0.921576746,1.65E-10,24,Pos,increase
B10K-DU-002-57,0.884894313,4.09E-10,28,Pos,decrease,-0.94865416,1.70E-13,26,Neg,decrease
B10K-DU-002-58,0.883708617,2.13E-10,29,Pos,decrease,-0.954861405,3.75E-14,26,Neg,decrease
B10K-DU-002-59,0.900684582,2.81E-11,29,Pos,decrease,-0.953562283,5.23E-14,26,Neg,decrease
B10K-DU-002-60,0.205752444,0.284267672,29,No,not_significant,-0.916966586,7.07E-12,28,Neg,decrease
B10K-DU-002-69,0.896576735,3.79E-08,21,Pos,decrease,-0.992307433,8.71E-18,20,Neg,decrease
B10K-DU-002-71,0.844868908,2.98E-08,27,Pos,decrease,0.947732823,6.89E-12,23,Pos,increase
B10K-DU-002-82,0.892044163,3.66E-11,30,Pos,decrease,-0.947258682,7.33E-14,27,Neg,decrease
B10K-DU-003-06,0.787086209,5.55E-08,33,Pos,decrease,0.940729891,3.74E-15,31,Pos,increase
B10K-DU-003-16,0.783640275,4.97E-07,29,Pos,decrease,0.929417342,9.19E-13,28,Pos,increase
B10K-DU-003-42,0.884221115,4.58E-09,25,Pos,decrease,-0.967633179,1.99E-13,22,Neg,decrease
B10K-DU-003-44,-0.538739046,0.004517419,26,No,not_significant,0.965442732,1.60E-15,26,Pos,increase
B10K-DU-004-15,0.91982522,3.89E-14,33,Pos,decrease,-0.942238602,7.90E-15,30,Neg,decrease
B10K-DU-005-01,-0.815075774,3.78E-05,18,Neg,increase,-0.895761866,2.17E-07,19,Neg,decrease
B10K-DU-005-73,0.846846977,2.49E-06,20,Pos,decrease,0.844498856,1.48E-06,21,Pos,increase
B10K-DU-005-78,0.875192952,2.07E-07,21,Pos,decrease,-0.958068845,7.14E-13,23,Neg,decrease
B10K-DU-006-06,0.8735616,5.70E-09,26,Pos,decrease,-0.950233034,3.87E-13,25,Neg,decrease
B10K-DU-006-09,0.854645522,5.39E-08,25,Pos,decrease,-0.001709957,0.993385398,26,No,not_significant
