species,family,order,unsexed_mass,b_brain_size,clutch_size,egg_mass,maximum_longevity_y,mortality_both,inc_duration,min_elevation,max_elevation,range_size_km2,migration,bill_total_culmen,bill_nares,bill_width,bill_depth,tarsus_length,kipps_distance,wing_chord,hand_wing_index,threat_status
Colinus_virginianus,Odontophoridae,Galliformes,178,1.3,8.8,8.9,6.42,0.665,23,0,2500,55200,1,14.9,8.575,7,8.375,29.55,30.3,109.75,27.66923741,NT
Colius_striatus,Coliidae,Coliiformes,51.1,1.05,2.5,3.4,NA,NA,13.5,30,2800,74500,1,14.65,9.4,6.575,7.4,23.325,23.6,93.25,25.32994451,LC
Columba_livia,Columbidae,Columbiformes,354.5,2.403,2,17.8,35,NA,16.75,0,4270,188500,1,22.775,12.4125,4.4,4.8625,26.5625,97.7125,221.1875,44.18079137,LC
Columbina_picui,Columbidae,Columbiformes,47,0.753,2,3.4,NA,NA,NA,0,3000,55300,3,15.325,8.825,3.3,4.5,14.95,22.75,90,25.35177699,LC
Copsychus_sechellarum,Muscicapidae,Passeriformes,71,NA,NA,NA,NA,NA,19.5,0,900,100,1,25.95,16.925,5.925,6.55,37.1,18.95,116,16.3105853,EN
Corvus_brachyrhynchos,Corvidae,Passeriformes,506,7.171,4.7,17.5,20,0.053,17.7,0,2835,145600,2,49.26,35.35,13.25,17.3,56.84,109.775,311.6,35.21660781,LC
Corvus_cornix,Corvidae,Passeriformes,570,8.031,4.6,19.8,19.17,0.264,18.5,0,3200,265500,1,52.425,35.35,13.75,18.4,55,114.075,311.5,36.72221866,LC
Corvus_moneduloides,Corvidae,Passeriformes,279,7.228,2.4,NA,NA,NA,17.5,260,550,600,1,42.3,28.425,10.7,17,45.25,54.6,232.5,23.47318004,LC
Corythaeola_cristata,Musophagidae,Musophagiformes,965,NA,2,54,NA,NA,30,10,2400,36700,1,38.875,18.825,9.2,18.55,53.875,34.175,314.25,10.87931772,LC
Corythaixoides_concolor,Musophagidae,Musophagiformes,258,3.699,2.8,24,NA,NA,27,50,1400,37200,1,25.325,12.65,7.9,13.5,38.575,39.75,217,18.32474909,LC
Coturnix_japonica,Phasianidae,Galliformes,94.8,NA,9.5,8.2,14.58,NA,18.5,120,3200,49900,3,14.525,7.725,4.725,5.175,23.925,37.95,96.5,39.35244499,NT
Crotophaga_sulcirostris,Cuculidae,Cuculiformes,82.2,NA,3.7,10.3,NA,NA,13.5,0,2750,33300,1,26.85,17.4,11.8,17.175,32.8,24.75,127.75,19.31863142,LC
Crypturellus_cinnamomeus,Tinamidae,Struthioniformes,422,NA,3,NA,NA,NA,16,0,1900,9900,1,26.225,10.725,5.4,5,45.5,35.575,157.9,22.51412861,LC
Crypturellus_soui,Tinamidae,Struthioniformes,217,1.49,2,20,NA,NA,19,0,2160,86500,1,22.52222222,7.97,4.225555556,3.883333333,36.51111111,34.292,127,26.7569554,LC
Crypturellus_undulatus,Tinamidae,Struthioniformes,567,NA,4.5,48.5,NA,NA,NA,0,1400,75800,1,30.3,12.425,5.95,5.7,46.425,32.675,173.75,18.78464497,LC
Cuculus_canorus,Cuculidae,Cuculiformes,111.5,1.409,9.2,3.22,12.92,NA,12,0,5250,509000,3,25.775,15.95,8.05,7.5,20.33333333,108.175,219.75,49.20162664,LC
Daphoenositta_chrysoptera,Neosittidae,Passeriformes,11.7,0.54,2.8,1.55,NA,NA,18.75,60,600,42200,1,13.9,9.65,2.575,3.425,15.8,23.35,77.375,30.1809642,LC
Dasyornis_broadbenti,Dasyornithidae,Passeriformes,67.9,1.876,2,6.65,NA,NA,18.5,20,25,1200,1,23.04875,10.36666667,4.6,5.633333333,34.315,5.033333333,94.125,5.500881834,LC
Dicaeum_eximium,Dicaeidae,Passeriformes,7.9,NA,NA,1.03,NA,NA,NA,20,950,1700,1,9.1,5.425,3,3.25,11.85,9.175,50,18.35,LC
Dicrurus_megarhynchus,Dicruridae,Passeriformes,130,NA,NA,NA,NA,NA,NA,0,1800,600,1,37.3,24.875,10.55,12.175,26.675,39.575,171,23.10655332,NT
Donacobius_atricapilla,Mimidae,Passeriformes,36.8,NA,2.4,3.6,NA,NA,NA,0,800,77900,1,27.0825,14.8725,4.6375,5.3225,31.5425,7.73,80.25,9.633473768,LC
Dromaius_novaehollandiae,Dromaiidae,Struthioniformes,34200,28.88,8.9,581.2,16.6,NA,53.7,70,1600,51200,1,82.375,26.45,32.15,16.85,382.75,0.1,124.5,0.081413713,LC
Dromas_ardeola,Dromadidae,Charadriiformes,325,NA,1,45,NA,NA,32.5,0,100,6700,1,62.85,44.825,9.875,14.525,88.2,112,208.5,53.7254902,LC
Drymodes_brunneopygia,Petroicidae,Passeriformes,33.2,0.985,1,4.36,NA,NA,16,20,300,7200,1,15.65,8.75,3.275,3.775,35.475,12.3,90.25,13.56617876,LC
Dryoscopus_gambensis,Malaconotidae,Passeriformes,31.9,NA,2,NA,NA,NA,NA,10,3000,52200,1,22.564,12.875,5.975,7.325,25.298,10.925,88.4,12.15058553,LC
Dulus_dominicus,Dulidae,Passeriformes,48.4,1.271,4,4.81,NA,NA,15,0,1800,1400,1,18.15,9.775,4.55,6.425,22.45,18.275,89,20.49918401,LC
Dyaphorophyia_castanea,Platysteiridae,Passeriformes,14.1,NA,2,1.68,NA,NA,17,100,1800,28200,1,15.675,8.675,5.125,4.3,15.9,5.425,61.125,8.824455365,LC
Edolisoma_coerulescens,Campephagidae,Passeriformes,62.9,NA,NA,NA,NA,NA,NA,100,1000,2700,1,25.525,16.55,8.175,8.375,22.75,25.35,124.25,20.41723202, NA
Egretta_garzetta,Ardeidae,Pelecaniformes,312,NA,3.9,28,22.34,NA,21.5,0,2270,227100,2,95.975,68.05,8.8,10.775,94.05,82.825,250,33.09686572,LC
Elachura_formosa,Timaliidae,Passeriformes,5,NA,NA,NA,NA,NA,NA,300,2400,6800,1,12.975,8.175,2.4,3.125,16.825,4.25,45.75,9.285024155, NA
Emberiza_fucata,Emberizidae,Passeriformes,19.8,NA,3.9,2.64,NA,NA,NA,10,800,24000,3,13.075,7.85,4.275,5.75,20.6,14.325,73,19.49310465,LC
Eolophus_roseicapilla,Psittacidae,Psittaciformes,328,6.347,3.8,14.4,26.3,NA,23.7,10,1300,68400,1,30.85,23.15,19.075,27.75,22.525,112.55,251,44.83957063,LC
Eremophila_alpestris,Alaudidae,Passeriformes,31.2,0.84,3.2,3.2,8,0.323,11,0,4267,467100,3,13.425,9.225,4.05,4.825,23.35,41.25,105.75,39.01121291,LC
Erithacus_rubecula,Muscicapidae,Passeriformes,17.7,0.648,5.1,2.4,19.33,0.62,13.7,0,1800,173100,3,13,6.95,2.925,3.3,24.15,12.65,69,18.33768811,LC
